sentence_id,source_file,tokens,text,matched_keywords,primary_keyword,cluster,cluster_label_auto
1,Campagne_dans_le_Haut-Sénégal_et_[...]Frey_Henri_bpt6k6550198v.txt,"['conséquence', 'idées', 'émises', 'personnelles', 'auteur', 'engagent', 'respon', 'sabilité']",conséquence idées émises personnelles auteur engagent respon sabilité,[],,3,était / pour / lui
2,Campagne_dans_le_Haut-Sénégal_et_[...]Frey_Henri_bpt6k6550198v.txt,"['monsieur', 'général', 'boulanger', 'hommar', 'ederespectueux', 'dévouement']",monsieur général boulanger hommar ederespectueux dévouement,[],,3,était / pour / lui
3,Campagne_dans_le_Haut-Sénégal_et_[...]Frey_Henri_bpt6k6550198v.txt,"['vichy', 'nst', 'campagne', 'dans', 'haut', 'sénégal', 'dans', 'haut', 'niger', 'contre', 'samory', 'contre', 'mahmadou', 'lamine', 'campagne', 'effectuée', 'sur', 'haut', 'sénégal', 'sur', 'haut', 'niger', 'par', 'colonne', 'placée', 'sous', 'commandement', 'lieutenant', 'colo', 'nel', 'frey', 'peut', 'diviser', 'deux', 'périodes', 'bien', 'distinctes']",vichy nst campagne dans haut sénégal dans haut niger contre samory contre mahmadou lamine campagne effectuée sur haut sénégal sur haut niger par colonne placée sous commandement lieutenant colo nel frey peut diviser deux périodes bien distinctes,"['Mahmadou', 'Lamine', 'Ahmadou']",Mahmadou,1,lamine / mahmadou lamine / mahmadou
4,Campagne_dans_le_Haut-Sénégal_et_[...]Frey_Henri_bpt6k6550198v.txt,"['première', 'comprend', 'opérations', 'dirigées', 'contre', 'bandes', 'almamy', 'samory', 'eurent', 'pour', 'résultat', 'rejeter', 'ces', 'bandes', 'sur', 'rive', 'droite', 'niger', 'amener', 'conclusion', 'traité', 'paix', 'avec', 'chef', 'indigène']",première comprend opérations dirigées contre bandes almamy samory eurent pour résultat rejeter ces bandes sur rive droite niger amener conclusion traité paix avec chef indigène,[],,0,avec / lui / ses
5,Campagne_dans_le_Haut-Sénégal_et_[...]Frey_Henri_bpt6k6550198v.txt,"['deuxième', 'période', 'comprend', 'opérations', 'eurent', 'pour', 'objet', 'pacification', 'guoye', 'kamera', 'guidimaka', 'provinces', 'haut', 'séné', 'gal', 'habitants', 'étaient', 'soulevés', 'masse', 'sur', 'derrières', 'colonne', 'voix', 'pro', 'phète', 'mahmadou', 'lamine', 'avaient', 'mis', 'siège', 'devant', 'fort', 'bakel']",deuxième période comprend opérations eurent pour objet pacification guoye kamera guidimaka provinces haut séné gal habitants étaient soulevés masse sur derrières colonne voix pro phète mahmadou lamine avaient mis siège devant fort bakel,"['Mahmadou', 'Lamine', 'Ahmadou']",Mahmadou,1,lamine / mahmadou lamine / mahmadou
6,Campagne_dans_le_Haut-Sénégal_et_[...]Frey_Henri_bpt6k6550198v.txt,"['distance', 'sépare', 'points', 'extrêmes', 'ces', 'deux', 'théâtres', 'opération', 'bamakou', 'dem', 'bakané', 'environ', 'neuf', 'cents', 'kilomètres', 'considère', 'cette', 'distance', 'etre', 'franchie', 'retour', 'moins', 'deux', 'mois', 'par', 'trou', 'pes', 'déjà', 'fatiguées', 'exténuées', 'par', 'première', 'campagne', 'tant', 'sur', 'niger', 'sur', 'négal', 'ces', 'troupes', 'durent', 'livrer', 'douze', 'combats', 'adversaire', 'fanatisé', 'toujours', 'dix', 'fois', 'supé', 'rieur', 'nombre', 'ajoute', 'mauvais', 'état', 'sentiers', 'manque', 'ressources', 'con', 'trées', 'traversées', 'ravages', 'causés', 'par', 'mala', 'dies', 'par', 'feu', 'ennemi', 'dans', 'rangs', 'petit', 'corps', 'expéditionnaire', 'demeurera', 'convaincu', 'seules', 'troupes', 'moral', 'excellent', 'confiance', 'aveugle', 'dans', 'leurs', 'chefs', 'admirablement', 'entraînées', 'commandées', 'par', 'officiers', 'grande', 'énergie', 'étaient', 'capables', 'semblables', 'efforts']",distance sépare points extrêmes ces deux théâtres opération bamakou dem bakané environ neuf cents kilomètres considère cette distance etre franchie retour moins deux mois par trou pes déjà fatiguées exténuées par première campagne tant sur niger sur négal ces troupes durent livrer douze combats adversaire fanatisé toujours dix fois supé rieur nombre ajoute mauvais état sentiers manque ressources con trées traversées ravages causés par mala dies par feu ennemi dans rangs petit corps expéditionnaire demeurera convaincu seules troupes moral excellent confiance aveugle dans leurs chefs admirablement entraînées commandées par officiers grande énergie étaient capables semblables efforts,[],,5,par / plus / hadj
7,Campagne_dans_le_Haut-Sénégal_et_[...]Frey_Henri_bpt6k6550198v.txt,"['cet', 'hommage', 'sera', 'pour', 'plus', 'grand', 'nombre', 'entre', 'principalement', 'pour', 'corps', 'tirailleurs', 'seule', 'récompense', 'tant', 'dévouement', 'tant', 'peines', 'récit', 'faire', 'marches', 'com', 'bats', 'effectués', 'dans', 'haut', 'négal', 'par', 'cette', 'poignée', 'hommes', 'dignes', 'émules', 'leurs', 'frères', 'armes', 'même', 'époque', 'distinguaient', 'avec', 'tant', 'éclat', 'dans', 'extrême', 'orient', 'sera', 'pour', 'pays', 'nouvelle', 'occasion', 'constater', 'esprit', 'devoir', 'abnégation', 'anime', 'ceux', 'auxquels', 'confié', 'honneur', 'pro', 'mener', 'drapeau', 'france', 'dans', 'toutes', 'parties', 'monde']",cet hommage sera pour plus grand nombre entre principalement pour corps tirailleurs seule récompense tant dévouement tant peines récit faire marches com bats effectués dans haut négal par cette poignée hommes dignes émules leurs frères armes même époque distinguaient avec tant éclat dans extrême orient sera pour pays nouvelle occasion constater esprit devoir abnégation anime ceux auxquels confié honneur pro mener drapeau france dans toutes parties monde,[],,2,dans / ces / leur
8,Campagne_dans_le_Haut-Sénégal_et_[...]Frey_Henri_bpt6k6550198v.txt,"['noir', 'habitué', 'vivre', 'dans', 'douce', 'quiétude', 'répond', 'bien', 'son', 'tempérament', 'nature', 'chaudes', 'contrées', 'habite', 'sans', 'horreur', 'absolue', 'travail', 'répugne', 'toute', 'fatigue', 'tout', 'labeur', 'longue', 'haleine', 'surtout', 'lui', 'imposés']",noir habitué vivre dans douce quiétude répond bien son tempérament nature chaudes contrées habite sans horreur absolue travail répugne toute fatigue tout labeur longue haleine surtout lui imposés,[],,3,était / pour / lui
9,Campagne_dans_le_Haut-Sénégal_et_[...]Frey_Henri_bpt6k6550198v.txt,"['aussi', 'considère', 'illes', 'salaires', 'quoique', 'très', 'rémunérateurs', 'toujours', 'réguliè', 'rement', 'payés', 'lui', 'donne', 'comme', 'dédom', 'magement', 'sans', 'grande', 'valeur', 'dérangement', 'privations', 'lui', 'impose', 'vexations', 'croit', 'victime']",aussi considère illes salaires quoique très rémunérateurs toujours réguliè rement payés lui donne comme dédom magement sans grande valeur dérangement privations lui impose vexations croit victime,[],,3,était / pour / lui
10,Campagne_dans_le_Haut-Sénégal_et_[...]Frey_Henri_bpt6k6550198v.txt,"['autre', 'part', 'notre', 'venue', 'dans', 'pays', 'entre', 'niger', 'sénégal', 'constituait', 'pour', 'deux', 'grands', 'chefs', 'indigènes', 'ahmadouscheikou', 'etsamory', 'étaient', 'partagé', 'domination', 'ces', 'contrées', 'danger', 'terrible', 'menace', 'incessante', 'dirigée', 'contre', 'intégrité', 'contre', 'existence', 'même', 'leurs', 'états']",autre part notre venue dans pays entre niger sénégal constituait pour deux grands chefs indigènes ahmadouscheikou etsamory étaient partagé domination ces contrées danger terrible menace incessante dirigée contre intégrité contre existence même leurs états,['Ahmadou'],Ahmadou,2,dans / ces / leur
