sentence_id,source_file,tokens,text,cluster,cluster_label_auto
1,Campagne_dans_le_Haut-Sénégal_et_[...]Frey_Henri_bpt6k6550198v.txt,"['campagne', 'dans', 'haut', 'sénégal', 'dans', 'haut', 'niger', 'par', 'colonel']",campagne dans haut sénégal dans haut niger par colonel,3,dans / plus / soudan
2,Campagne_dans_le_Haut-Sénégal_et_[...]Frey_Henri_bpt6k6550198v.txt,"['source', 'gallica', 'bnf', 'bibliothèque', 'nationale', 'france', 'frey', 'henri']",source gallica bnf bibliothèque nationale france frey henri,0,pour / dans / ces
3,Campagne_dans_le_Haut-Sénégal_et_[...]Frey_Henri_bpt6k6550198v.txt,"['campagne', 'dans', 'haut', 'sénégal', 'dans', 'haut', 'niger', 'par', 'colonel']",campagne dans haut sénégal dans haut niger par colonel,3,dans / plus / soudan
4,Campagne_dans_le_Haut-Sénégal_et_[...]Frey_Henri_bpt6k6550198v.txt,"['contenus', 'accessibles', 'sur', 'site', 'gallica', 'pour', 'plupart', 'reproductions', 'numériques', 'oeuvres', 'tombées', 'dans', 'domaine', 'public', 'provenant', 'collections', 'bnf']",contenus accessibles sur site gallica pour plupart reproductions numériques oeuvres tombées dans domaine public provenant collections bnf,0,pour / dans / ces
5,Campagne_dans_le_Haut-Sénégal_et_[...]Frey_Henri_bpt6k6550198v.txt,"['leur', 'réutilisation', 'inscrit', 'dans', 'cadre', 'loi', 'juillet', 'réutilisation', 'non', 'commerciale', 'ces', 'contenus', 'dans', 'cadre', 'publication', 'académique', 'scientifique', 'libre', 'gratuite', 'dans', 'respect', 'législation', 'vigueur', 'notamment', 'maintien', 'mention', 'source', 'contenus', 'telle', 'précisée', 'après', 'source', 'gallica', 'bnf', 'bibliothèque', 'nationale', 'france', 'source', 'gallica', 'bnf', 'bnf']",leur réutilisation inscrit dans cadre loi juillet réutilisation non commerciale ces contenus dans cadre publication académique scientifique libre gratuite dans respect législation vigueur notamment maintien mention source contenus telle précisée après source gallica bnf bibliothèque nationale france source gallica bnf bnf,0,pour / dans / ces
6,Campagne_dans_le_Haut-Sénégal_et_[...]Frey_Henri_bpt6k6550198v.txt,"['réutilisation', 'commerciale', 'ces', 'contenus', 'payante', 'fait', 'objet', 'licence']",réutilisation commerciale ces contenus payante fait objet licence,0,pour / dans / ces
7,Campagne_dans_le_Haut-Sénégal_et_[...]Frey_Henri_bpt6k6550198v.txt,"['entendue', 'par', 'réutilisation', 'commerciale', 'revente', 'contenus', 'sous', 'forme', 'produits', 'élaborés', 'fourniture', 'service', 'toute', 'autre', 'réutilisation', 'contenus', 'générant', 'directement', 'revenus', 'publication', 'vendue', 'exception', 'ouvrages', 'académiques', 'scientifiques', 'exposition', 'production', 'audiovisuelle', 'service', 'produit', 'payant', 'support', 'vocation', 'promotionnelle', 'etc']",entendue par réutilisation commerciale revente contenus sous forme produits élaborés fourniture service toute autre réutilisation contenus générant directement revenus publication vendue exception ouvrages académiques scientifiques exposition production audiovisuelle service produit payant support vocation promotionnelle etc,0,pour / dans / ces
8,Campagne_dans_le_Haut-Sénégal_et_[...]Frey_Henri_bpt6k6550198v.txt,"['cliquer', 'ici', 'pour', 'accéder', 'aux', 'tarifs', 'licence', 'contenus', 'gallica', 'propriété', 'bnf', 'sens', 'article', 'code', 'général', 'propriété', 'personnes', 'publiques']",cliquer ici pour accéder aux tarifs licence contenus gallica propriété bnf sens article code général propriété personnes publiques,0,pour / dans / ces
9,Campagne_dans_le_Haut-Sénégal_et_[...]Frey_Henri_bpt6k6550198v.txt,"['quelques', 'contenus', 'soumis', 'régime', 'réutilisation', 'particulier']",quelques contenus soumis régime réutilisation particulier,0,pour / dans / ces
10,Campagne_dans_le_Haut-Sénégal_et_[...]Frey_Henri_bpt6k6550198v.txt,"['agit', 'reproductions', 'documents', 'protégés', 'par', 'droit', 'auteur', 'appartenant', 'tiers']",agit reproductions documents protégés par droit auteur appartenant tiers,2,par / dans / leur
